2020 ENERO,cart,5824195,apparel.glove,domix,0.94,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,remove_from_cart,5824195,apparel.glove,domix,0.94,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,remove_from_cart,5824195,apparel.glove,domix,0.94,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,cart,5914426,apparel.glove,nitrimax,10.16,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,remove_from_cart,5914426,apparel.glove,nitrimax,10.16,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,remove_from_cart,5914426,apparel.glove,nitrimax,10.16,310843802,e3d3613c-44b4-4a60-8781-d94ad09a1a2a
2020 ENERO,cart,5873430,apparel.glove,benovy,7.46,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,cart,5901859,apparel.glove,benovy,5.62,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,view,5901859,apparel.glove,benovy,5.62,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,remove_from_cart,5873430,apparel.glove,benovy,7.46,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,remove_from_cart,5873430,apparel.glove,benovy,7.46,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,remove_from_cart,5901859,apparel.glove,benovy,5.62,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,cart,5873430,apparel.glove,benovy,7.46,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,cart,5873432,apparel.glove,benovy,5.57,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,remove_from_cart,5873432,apparel.glove,benovy,5.57,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,remove_from_cart,5873432,apparel.glove,benovy,5.57,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,purchase,5873430,apparel.glove,benovy,7.46,593011583,e59c6f03-eec2-4a7e-9bd3-d8da273c6553
2020 ENERO,view,5855507,appliances.environment.vacuum,max,79.21,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5884577,appliances.environment.vacuum,max,47.46,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5855507,appliances.environment.vacuum,max,79.21,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5823935,appliances.environment.vacuum,polarus,53.81,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5854573,appliances.environment.vacuum,jessnail,46.83,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5884577,appliances.environment.vacuum,max,47.46,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5884580,appliances.environment.vacuum,max,63.33,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5855507,appliances.environment.vacuum,max,79.21,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5884580,appliances.environment.vacuum,max,63.33,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5885586,appliances.environment.vacuum,polarus,68.1,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5885586,appliances.environment.vacuum,polarus,68.1,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5855510,appliances.environment.vacuum,max,95.08,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,view,5855510,appliances.environment.vacuum,max,95.08,567802194,ab64b3f6-f018-4ce2-b4c4-209b6dc3c26c
2020 ENERO,cart,5749198,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,cart,5788781,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,cart,5767494,stationery.cartrige,italwax,2.14,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,cart,5766981,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,cart,5820598,stationery.cartrige,yoko,2.17,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,remove_from_cart,5766981,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,purchase,5749198,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,purchase,5767494,stationery.cartrige,italwax,2.14,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,purchase,5788781,stationery.cartrige,italwax,1.98,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,purchase,5820598,stationery.cartrige,yoko,2.17,595482877,d3ec7952-3c80-4b4d-b02a-bd84e1769be7
2020 ENERO,view,5901870,apparel.glove,benovy,7.46,568501190,96974957-4157-42fa-974b-57679ca0e6ae
2020 ENERO,cart,5901861,apparel.glove,benovy,6.35,568501190,96974957-4157-42fa-974b-57679ca0e6ae
